2,UNFUSED_BATTERY_POS,8,GXL,RD,RT2,1,FB2,1
30,FUSED_BP,8,GXL,RD,FB2,2,SP1,1
30a,FBP_ALTERNATOR_B,10,GXL,RD,SP1,2,RT1,1
30b,FBP_ELECT,10,GXL,RD,SP1,2,SP2,1
30c,FBP_RELAYS,10,GXL,RD,SP2,2,SP3,1
30d,FBP_STARTER_RELAY,10,GXL,RD,SP3,2,P24,30
30e,FBP_GLOW_RELAY,10,GXL,RD,SP3,3,P25,30
30f,FBP_KEYSWITCH,12,GXL,RD,SP2,3,P3,B
31,BATT_GND,8,GXL,BK,RT3,1,SP4,1
31a,BGND_ECU,12,GXL,BK,SP4,2,SP5,1
31b,BGND_STARTER_RELAY,14,GXL,BK:RD,SP4,3,P24,86
31c,BGND_KEYSWITCH,12,GXL,BK,SP4,4,P3,E
5422,START SIGNAL KEYSWITCH,14,GXL,RD,P3,D,P24,85
5012,SWITCHED_POWER,12,GXL,RD,P3,G,FB1,1
8,SWPWR_ALT_L,16,GXL,BL,FB1,6,P14,31
18,SWPWR_ALT_R,16,GXL,RD,FB1,4,P14,30
16,SWPWR_GLOW,16,GXL,RD:BK,FB1,2,P25,85
5905,CAN_Low,16,CAN S/UTP,GN,P1,F3,P3,U
5904,CAN_High,16,CAN S/UTP,YL,P1,F2,P3,V
101,SWPWR_ECU1,16,GXL,RD:BK,FB1,8,P1,A1
111,SWPWR_ECU2,16,GXL,RD:BL,FB1,10,P1,B1
121,GND_ECU1,16,GXL,BK,P1,C1,SP5,2
112,GND_ECU2,16,GXL,BK,P1,B2,SP5,3
113,GND_ECU3,16,GXL,BK,P1,B3,SP5,4
102,FUEL_SOL_PWR,16,GXL,RD:WH,P1,A2,P23,30
142,SHDN_RELAY_GND,16,GXL,YL:BL,P1,E2,P23,86
112,SHDN_RELAY_COIL,16,GXL,RD,FB1,12,P23,85
102a,FUEL_SOL_SWPWR,16,GXL - TWIST,RD:WH,P23,87,P7,121
103,FUEL_SOL_PWM,16,GXL - TWIST,BK:WH,P1,A3,P7,122
132,GLOW_RELAY_GND,16,GXL,VI:BL,P1,D2,P25,86
201,MAG_PICKUP_POS,16,S/UTP,YL,P2,A1,P5,2
202,MAG_PICKUP_NEG,16,S/UTP,YL:BK,P2,A2,P5,1
203,MAG_PICKUP_SHLD,16,S/UTP,BK:YL,P2,A3,P5,SHIELD
211,5V SENSOR,16,GXL - TWIST,RD:WH,P2,B1,P6,101
212,ACTUATOR PWM SENSE,16,GXL - TWIST,YL:WH,P2,B2,P6,102
213,DGND,16,GXL - TWIST,BK:WH,P2,B3,P6,103
221,TxD,18,GXL,BL:YL,P2,C1,P22,0
222,RxD,18,GXL,BL:GN,P2,C2,P22,0
223,DGND,18,GXL,BK:BL,P2,C3,P22,0
271,5V SENSOR 2,16,GXL - TWIST,RD:VI,P2,H1,P4,271
272,MAP SENSE,16,GXL - TWIST,YL:VI,P2,H2,P4,272
273,DGND,16,GXL - TWIST,BK:VI,P2,H3,P4,273
291,COOLANT TEMP,16,GXL,WH:RD,P2,K1,P9,3
292,DGND,16,GXL,BL:RD,P2,K2,P9,1
242,OIL PRESSURE,16,GXL,BL:BK,P2,E2,P8,1
